Bonjour ! (le matin);Good morning !;goud mor-ning;1;1
Bonjour ! (l'après-midi);Good afternoon !;goud af-teu-noun;1;1
Bonsoir !;Good evening !;goud ive-nin-gue;1;1
Bonne nuit !;Good night !;goud naït;1;1
Au revoir !;Goodbye !;goud baï;1;1
Salut !;Hello !;hélo-ou;1;1
oui;yes;yés;1;1
non;no;no-ou;1;1
S'il te / vous plaît !;Please !;plize;1;1
Merci !;Thank you !;fénk you;1;1
Merci beaucoup !;Thank you very much !;fénk you véwi meutch;1;1
Vous parlez anglais ?;Do you speak English ?;dou you spik in-glich ?;1;1
Je suis français(e).;I am French.;ay am fwénch;1;1
lundi;Monday;mone-déï;2;2
mardi;Tuesday;tiouz-déï;2;2
mercredi;Wednesday;wénz-déï;2;2
jeudi;Thursday;feurs-déï;2;2
vendredi;Friday;fouaï-déï;2;2
samedi;Saturday;sa-teu-déï;2;2
dimanche;Sunday;seun-déï;2;2
janvier;January;dja-niu-wi;3;3
février;February;fé-bwu-wi;3;3
mars;March;mar-tch;3;3
avril;April;éï-pweul;3;3
mai;May;méï;3;3
juin;June;dju-ne;3;3
juillet;July;dju-laï;3;3
août;August;o-ou-geust;3;3
septembre;September;sép-tém-beur;3;3
octobre;October;ok-to-ou-beur;3;3
novembre;November;no-vém-beur;3;3
décembre;December;di-sém-beur;3;3
